SV Name, Scan URL, Version
C7-Technology-Services-Limited, https://scan.sv-1.dev.global.canton.network.c7.digital, 0.8.3
Cumberland-1, https://scan.sv-1.dev.global.canton.network.cumberland.io, 0.8.1
Cumberland-2, https://scan.sv-2.dev.global.canton.network.cumberland.io, 0.8.1
DA-Helm-Test-Node, https://scan.sv.dev.global.canton.network.digitalasset.com, 0.8.3
Digital-Asset-1, https://scan.sv-1.dev.global.canton.network.digitalasset.com, 0.8.3
Digital-Asset-2, https://scan.sv-2.dev.global.canton.network.digitalasset.com, 0.8.3
Five-North-1, https://scan.sv-1.dev.global.canton.network.fivenorth.io, 0.8.1
Global-Synchronizer-Foundation, https://scan.sv-1.dev.global.canton.network.sync.global, 0.8.3
Liberty-City-Ventures-1, https://scan.sv-1.dev.global.canton.network.lcv.mpch.io, 0.8.1
MPC-Holding-Inc, https://scan.sv-1.dev.global.canton.network.mpch.io, 0.8.1
Orb-1-LP-1, https://scan.sv-1.dev.global.canton.network.orb1lp.mpch.io, 0.8.1
Proof-Group-1, https://scan.sv-1.dev.global.canton.network.proofgroup.xyz, 0.8.3
SV-Nodeops-Limited, https://scan.sv.dev.global.canton.network.sv-nodeops.com, 0.8.1
Tradeweb-Markets-1, https://scan.sv-1.dev.global.canton.network.tradeweb.com, 0.8.1
