SV Name, Scan URL, Version
C7-Technology-Services-Limited, https://scan.sv-1.global.canton.network.c7.digital, 0.7.5
Cumberland-1, https://scan.sv-1.global.canton.network.cumberland.io, 0.7.5
Cumberland-2, https://scan.sv-2.global.canton.network.cumberland.io, 0.7.5
Digital-Asset-1, https://scan.sv-1.global.canton.network.digitalasset.com, 0.7.5
Digital-Asset-2, https://scan.sv-2.global.canton.network.digitalasset.com, 0.7.5
Five-North-1, https://scan.sv-1.global.canton.network.fivenorth.io, 0.7.5
Global-Synchronizer-Foundation, https://scan.sv-1.global.canton.network.sync.global, 0.7.5
Liberty-City-Ventures-1, https://scan.sv-1.global.canton.network.lcv.mpch.io, 0.7.5
MPC-Holding-Inc, https://scan.sv-1.global.canton.network.mpch.io, 0.7.5
Orb-1-LP-1, https://scan.sv-1.global.canton.network.orb1lp.mpch.io, 0.7.5
Proof-Group-1, https://scan.sv-1.global.canton.network.proofgroup.xyz, 0.7.5
SV-Nodeops-Limited, https://scan.sv.global.canton.network.sv-nodeops.com, 0.7.5
Tradeweb-Markets-1, https://scan.sv-1.global.canton.network.tradeweb.com, 0.7.5
