SV Name, Scan URL, Version
C7-Technology-Services-Limited, https://scan.sv-1.test.global.canton.network.c7.digital, 0.8.0
Cumberland-1, https://scan.sv-1.test.global.canton.network.cumberland.io, 0.8.0
Cumberland-2, https://scan.sv-2.test.global.canton.network.cumberland.io, 0.8.0
Digital-Asset-1, https://scan.sv-1.test.global.canton.network.digitalasset.com, 0.8.0
Digital-Asset-2, https://scan.sv-2.test.global.canton.network.digitalasset.com, 0.8.0
Five-North-1, https://scan.sv-1.test.global.canton.network.fivenorth.io, 0.8.0
Global-Synchronizer-Foundation, https://scan.sv-1.test.global.canton.network.sync.global, 0.8.0
Liberty-City-Ventures-1, https://scan.sv-1.test.global.canton.network.lcv.mpch.io, 0.8.0
MPC-Holding-Inc, https://scan.sv-1.test.global.canton.network.mpch.io, 0.8.0
Orb-1-LP-1, https://scan.sv-1.test.global.canton.network.orb1lp.mpch.io, 0.8.0
Proof-Group-1, https://scan.sv-1.test.global.canton.network.proofgroup.xyz, 0.8.0
SV-Nodeops-Limited, https://scan.sv.test.global.canton.network.sv-nodeops.com, 0.8.0
Tradeweb-Markets-1, https://scan.sv.test.global.canton.network.tradeweb.com, 0.8.0
